Temp,Cp,Density,Viscosity,Kinematic Viscosity,Thermal Conductivity,Enthalpy
637,1.0038022208,1597.4782222222,0.0026481861,1.65411580841477E-06,0.4227290149,267154.629418575
638,1.0033545455,1596.8995555556,0.0026443087,1.65227186662866E-06,0.4225800766,268158.246230264
639,1.0029068788,1596.3208888889,0.0026404452,1.65043561970211E-06,0.422432472,269161.414663597
640,1.0024592208,1595.7422222222,0.0026365954,1.64860702986298E-06,0.422286199,270164.134718576
641,1.0020115714,1595.1635555556,0.0026327592,1.64678605976421E-06,0.4221412555,271166.406395199
642,1.0015639307,1594.5848888889,0.0026289366,0.000001645,0.4219976395,272168.229693468
643,1.0011162987,1594.0062222222,0.0026251275,1.64316683152566E-06,0.421855349,273169.604613381
644,1.0006686753,1593.4275555556,0.0026213318,1.6413685008177E-06,0.421714382,274170.53115494
645,1.0002210606,1592.8488888889,0.0026175494,1.63957764471385E-06,0.4215747366,275171.009318144
646,0.9997734545,1592.2702222222,0.0026137803,1.63779422799293E-06,0.4214364108,276171.039102993
647,0.9993258571,1591.6915555556,0.0026100243,0.000001636,0.4212994028,277170.620509486
648,0.9988782684,1591.1128888889,0.0026062814,1.63424957394123E-06,0.4211637106,278169.753537625
649,0.9984306883,1590.5342222222,0.0026025515,1.63248826829406E-06,0.4210293325,279168.438187409
650,0.9979831169,1589.9555555556,0.0025988345,1.63073426539704E-06,0.4208962667,280166.674458837
651,0.9975355541,1589.3768888889,0.0025951304,0.000001629,0.4207645114,281164.462351911
652,0.997088,1588.7982222222,0.002591439,1.62724803589751E-06,0.4206340648,282161.80186663
653,0.9966404545,1588.2195555556,0.0025877603,1.62551574438E-06,0.4205049253,283158.693002994
654,0.9961929177,1587.6408888889,0.0025840942,1.62379062578262E-06,0.4203770912,284155.135761003
655,0.9957453896,1587.0622222222,0.0025804407,1.62207264871084E-06,0.4202505609,285151.130140657
656,0.9952978701,1586.4835555556,0.0025767996,1.6203617821952E-06,0.4201253328,286146.676141956
657,0.9948503593,1585.9048888889,0.002573171,1.61865799569155E-06,0.4200014053,287141.7737649
658,0.9944028571,1585.3262222222,0.0025695547,0.000001617,0.4198787769,288136.423009489
659,0.9939553636,1584.7475555556,0.0025659506,1.61527154266911E-06,0.4197574462,289130.623875723
660,0.9935078788,1584.1688888889,0.0025623587,1.61358881718778E-06,0.4196374116,290124.376363602
661,0.9930604026,1583.5902222222,0.0025587789,1.6119130537933E-06,0.4195186719,291117.680473126
662,0.9926129351,1583.0115555556,0.0025552112,1.61024422406734E-06,0.4194012257,292110.536204295
663,0.9921654762,1582.4328888889,0.0025516554,1.60858230001671E-06,0.4192850716,293102.943557109
664,0.991718026,1581.8542222222,0.0025481116,1.60692725407339E-06,0.4191702084,294094.902531568
665,0.9912705844,1581.2755555556,0.0025445795,1.60527905909463E-06,0.4190566348,295086.413127673
666,0.9908231515,1580.6968888889,0.0025410593,1.60363768836275E-06,0.4189443497,296077.475345422
667,0.9903757273,1580.1182222222,0.0025375508,0.000001602,0.4188333519,297068.089184816
