,#1,,,,,,,,,,
,double data(8760,11),,,,,,,,,
357,1285200,0,0,0,7.2,-4.4,44,953,2.6,270,-9900
358,1288800,0,0,0,7.4,-3.9,43,952,3.1,270,-9900
359,1292400,0,0,0,7.6,-4.3,41,952,3.6,260,-9900
360,1296000,0,0,0,7.8,-5,40,951,4.1,260,-9900
361,1299600,0,0,0,8.2,-4.4,39,951,4.5,260,-9900
362,1303200,0,0,0,8.5,-4.7,37,951,4.8,270,-9900
363,1306800,0,0,0,8.9,-5.6,36,951,5.2,270,-9900
364,1310400,0,0,0,8.3,-4.6,38,951,5.2,270,-9900
365,1314000,0,0,0,7.8,-4.4,40,951,5.2,280,-9900
366,1317600,3,0,2,7.2,-5,42,951,5.2,280,-9900
367,1321200,64,3,36,9.2,-4.2,37,952,5.2,270,-9900
368,1324800,243,273,51,11.3,-3.9,33,952,5.2,270,-9900
369,1328400,410,705,59,13.3,-5,28,953,5.2,260,-9900
370,1332000,531,854,71,15.9,-3.6,25,952,4.8,290,-9900
371,1335600,594,907,71,18.5,-2.7,23,951,4.5,320,-9900
372,1339200,585,943,70,21.1,-2.8,20,950,4.1,350,-9900
373,1342800,515,934,65,21.5,-2.7,19,950,2.7,0,-9900
374,1346400,388,907,54,21.8,-2.5,19,950,1.4,20,-9900
375,1350000,220,846,40,22.2,-3.3,18,950,0,0,-9900
376,1353600,54,718,21,18.9,-2.9,22,950,0,0,-9900
377,1357200,0,342,0,15.5,-3.5,26,951,0,0,-9900
378,1360800,0,0,0,12.2,-5,30,951,0,0,-9900
379,1364400,0,0,0,11.5,-4.8,30,952,1.2,90,-9900
380,1368000,0,0,0,10.7,-5.5,30,952,2.4,110,-9900
381,1371600,0,0,0,10,-6.7,30,953,3.6,120,-9900
382,1375200,0,0,0,8.9,-7.3,29,953,3.8,180,-9900
383,1378800,0,0,0,7.8,-8.9,27,954,3.9,240,-9900
384,1382400,0,0,0,6.7,-11.7,26,954,4.1,300,-9900
385,1386000,0,0,0,5.9,-10,28,954,2.7,320,-9900
386,1389600,0,0,0,5.2,-10.1,29,955,1.4,330,-9900
387,1393200,0,0,0,4.4,-11.1,31,955,0,0,-9900
388,1396800,0,0,0,3.1,-10,34,955,0,0,-9900
389,1400400,0,0,0,1.9,-9.7,38,955,0,0,-9900
390,1404000,5,0,1,0.6,-11.1,41,956,0,0,-9900
391,1407600,72,11,20,3.7,-8.9,36,956,1,60,-9900
392,1411200,255,510,35,6.9,-8.1,31,957,2.1,70,-9900
393,1414800,424,805,47,10,-8.9,26,957,3.1,90,-9900
394,1418400,547,917,55,10.9,-8.4,23,956,3.6,100,-9900
395,1422000,609,967,59,11.9,-8.7,21,955,4.1,110,-9900
396,1425600,606,986,59,12.8,-11.1,18,954,4.6,120,-9900
397,1429200,540,986,55,13.3,-10,17,953,3.8,130,-9900
398,1432800,409,970,46,13.9,-10.3,16,953,2.9,140,-9900
399,1436400,234,914,33,14.4,-11.7,15,952,2.1,150,-9900
400,1440000,62,791,18,12.2,-10.8,17,953,1.4,160,-9900
401,1443600,0,441,0,10,-11.8,18,953,0.7,180,-9900
402,1447200,0,0,0,7.8,-13.9,20,953,0,0,-9900
403,1450800,0,0,0,6.5,-12.7,21,953,0,0,-9900
404,1454400,0,0,0,5.2,-12.7,23,954,0,0,-9900
405,1458000,0,0,0,3.9,-15,24,954,0,0,-9900
406,1461600,0,0,0,3,-13.1,26,954,0.9,240,-9900
407,1465200,0,0,0,2,-13,28,954,1.7,260,-9900
408,1468800,0,0,0,1.1,-14.4,30,954,2.6,270,-9900
409,1472400,0,0,0,0.7,-12.6,32,954,2.6,270,-9900
410,1476000,0,0,0,0.4,-12.5,33,955,2.6,270,-9900
411,1479600,0,0,0,0,-13.9,35,955,2.6,270,-9900
412,1483200,0,0,0,-0.4,-12.2,36,955,2.6,270,-9900
413,1486800,0,0,0,-0.7,-12.2,37,955,2.6,270,-9900
